time (s),total frames,fps
14.934,1,1
15.097,2,1
16.001,219,217
17.008,537,318
18.002,703,166
19.002,986,283
20.004,1193,207
21.004,1391,198
22.001,1560,169
23.003,1784,224
24.0,1964,180
25.003,2159,195
26.001,2380,221
27.0,2538,158
28.001,2750,212
29.0,2957,207
30.002,3118,161
31.003,3344,226
32.005,3517,173
33.001,3709,192
34.001,3928,219
35.001,4084,156
36.004,4279,195
37.001,4474,195
38.004,4631,157
39.002,4856,225
40.005,5031,175
41.003,5227,196
42.005,5449,222
43.0,5607,158
44.001,5819,212
45.005,6022,203
46.002,6187,165
47.003,6394,207
48.012,6561,167
49.004,6747,186
50.002,6969,222
51.005,7123,154
52.001,7336,213
53.001,7531,195
54.002,7691,160
55.001,7912,221
56.001,8087,175
57.004,8277,190
58.0,8489,212
59.002,8640,151
60.0,8849,209
