Uptime (s),Used G1 Old Gen (MB),Used G1 Eden Space (MB),Used G1 Survivor Space (MB),Allocated All Pools (MB)
10.6,531.279,3.146,1.192,1205.862
11.6,513.453,92.275,4.309,1205.862
12.6,343.584,201.327,22.182,1205.862
13.6,385.527,374.342,58.531,1205.862
14.6,402.05,188.744,71.303,1504.707
15.6,470.207,458.228,71.303,1504.707
16.6,384.478,78.643,91.75,1504.707
17.6,391.818,476.054,91.75,1504.707
18.6,533.376,137.363,96.469,1504.707
19.6,533.376,463.471,96.469,1504.707
20.6,630.523,144.703,57.672,1504.707
21.6,630.523,355.467,57.672,1504.707
22.6,687.069,206.569,7.864,1504.707
23.6,687.069,415.236,7.864,1504.707
24.6,402.905,162.529,32.997,1504.707
25.6,402.905,447.742,32.997,1504.707
26.6,360.183,123.732,4.194,1504.707
27.6,360.183,464.519,4.194,1504.707
28.6,360.183,679.477,4.194,1504.707
29.6,360.183,71.303,33.48,1504.707
30.6,360.183,448.791,33.48,1504.707
31.6,360.183,667.943,33.48,1504.707
32.6,360.183,122.683,63.439,1504.707
33.6,360.183,478.151,63.439,1504.707
34.6,360.183,719.323,63.439,1504.707
35.6,389.042,301.99,62.915,1504.707
36.6,389.042,537.919,62.915,1504.707
37.6,389.042,751.829,62.915,1504.707
38.6,417.099,361.759,62.915,1504.707
39.6,417.099,577.765,62.915,1504.707
40.6,446.547,93.323,62.39,1504.707
41.6,446.547,434.11,62.39,1504.707
42.6,446.547,648.02,62.39,1504.707
43.6,476.431,348.127,61.866,1504.707
44.6,505.267,56.623,61.866,1504.707
45.6,505.267,336.593,61.866,1504.707
46.6,533.579,198.181,49.807,1504.707
47.6,533.579,605.028,49.807,1504.707
48.6,563.463,230.687,34.603,1504.707
49.6,563.463,104.858,63.439,1504.707
50.6,563.463,409.993,63.439,1504.707
51.6,591.609,263.193,40.894,1504.707
52.6,591.609,512.754,40.894,1504.707
53.6,591.609,96.469,62.915,1504.707
54.6,619.135,84.935,64.487,1504.707
55.6,619.135,438.305,64.487,1504.707
56.6,648.175,260.047,36.176,1504.707
57.6,648.175,344.982,57.147,1504.707
58.6,677.036,173.015,37.224,1504.707
59.6,587.907,245.367,49.961,1504.707
